Grid Size,Thread Count,Frame Rate
40000,2,52.91
40000,2,52.94
40000,2,52.90
40000,2,52.94
40000,2,52.91
40000,2,52.94
40000,2,52.90
40000,2,52.94
40000,2,52.98
40000,2,52.94
40000,2,52.98
40000,2,52.95
40000,2,52.98
40000,2,52.96
40000,2,52.99
40000,2,52.95
40000,2,52.98
40000,2,53.02
40000,2,52.97
40000,2,53.01
40000,2,52.97
40000,2,53.00
40000,2,53.04
40000,2,53.00
40000,2,53.03
40000,2,53.00
40000,2,53.04
40000,2,53.01
40000,2,53.05
40000,2,53.02
40000,2,53.05
40000,2,53.02
40000,2,53.05
40000,2,53.02
40000,2,53.05
40000,2,53.08
40000,2,53.06
40000,2,53.09
40000,2,53.06
40000,2,53.10
40000,2,53.07
40000,2,53.11
40000,2,53.08
40000,2,53.11
40000,2,53.08
40000,2,53.11
40000,2,53.08
40000,2,53.11
40000,2,53.06
40000,2,53.09
40000,2,53.13
40000,2,53.08
40000,2,53.12
40000,2,53.16
40000,2,53.12
40000,2,53.16
40000,2,53.12
40000,2,53.15
40000,2,53.11
40000,2,53.15
40000,2,53.18
40000,2,53.15
40000,2,53.19
40000,2,53.16
40000,2,53.19
40000,2,53.16
40000,2,53.19
40000,2,53.16
40000,2,53.19
40000,2,53.23
40000,2,53.20
40000,2,53.23
40000,2,53.20
40000,2,53.23
40000,2,53.21
40000,2,53.24
40000,2,53.21
40000,2,53.25
40000,2,53.21
40000,2,53.24
40000,2,53.21
40000,2,53.25
40000,2,53.28
40000,2,53.22
40000,2,53.26
40000,2,53.29
40000,2,53.25
40000,2,53.29
40000,2,53.25
40000,2,53.29
40000,2,53.26
40000,2,53.30
40000,2,53.25
40000,2,53.29
40000,2,53.32
40000,2,53.29
40000,2,53.33
40000,2,53.28
40000,2,53.31
40000,2,53.29
40000,2,53.32
40000,2,53.35
40000,2,53.32
40000,2,53.35
40000,2,53.32
40000,2,53.36
40000,2,53.33
40000,2,53.36
40000,2,53.20
40000,2,53.18
